,Thời gian,Tiêu đề,URL
0,(11/11/2025 00:00),BID: Quyết định của TGĐ về việc thay đổi địa điểm đặt trụ sở Chi nhánh Kinh Bắc,https://cafef.vn/du-lieu/BID-2337502/bid-quyet-dinh-cua-tgd-ve-viec-thay-doi-dia-diem-dat-tru-so-chi-nhanh-kinh-bac.chn?utm_source=du-lieu
1,(11/11/2025 00:00),BID: Nghị quyết HĐQT phê duyệt phương án phát hành riêng lẻ trái phiếu BIDV quý 4/2025,https://cafef.vn/du-lieu/BID-2337640/bid-nghi-quyet-hdqt-phe-duyet-phuong-an-phat-hanh-rieng-le-trai-phieu-bidv-quy-42025.chn?utm_source=du-lieu
2,(05/11/2025 00:00),BID: Ông Lê Trung Thành - Phó Tổng giám đốc nghỉ hưu từ 1.1.2026,https://cafef.vn/du-lieu/BID-2334762/bid-ong-le-trung-thanh-pho-tong-giam-doc-nghi-huu-tu-112026.chn?utm_source=du-lieu
3,(31/10/2025 00:00),BID: Nghị quyết HĐQT phê duyệt phương án phát hành trái phiếu tăng vốn,https://cafef.vn/du-lieu/BID-2333966/bid-nghi-quyet-hdqt-phe-duyet-phuong-an-phat-hanh-trai-phieu-tang-von.chn?utm_source=du-lieu
4,(31/10/2025 00:00),BID: Quyết định TGĐ về việc thay đổi địa điểm đặt trụ sở CN Ba Mươi Tháng Tư,https://cafef.vn/du-lieu/BID-2334011/bid-quyet-dinh-tgd-ve-viec-thay-doi-dia-diem-dat-tru-so-cn-ba-muoi-thang-tu.chn?utm_source=du-lieu
5,(24/10/2025 00:00),BID: HĐQT thông qua cấp hạn mức đầu tư tiền gửi đảm bảo bằng TSCĐ loại 1 đối với BIDC,https://cafef.vn/du-lieu/BID-2326135/bid-hdqt-thong-qua-cap-han-muc-dau-tu-tien-gui-dam-bao-bang-tscd-loai-1-doi-voi-bidc.chn?utm_source=du-lieu
6,(23/10/2025 00:00),BID: Thông báo về việc điều chỉnh BCTC năm 2024 đã được kiểm toán theo kết quả Kiểm toán Nhà nước,https://cafef.vn/du-lieu/BID-2324328/bid-thong-bao-ve-viec-dieu-chinh-bctc-nam-2024-da-duoc-kiem-toan-theo-ket-qua-kiem-toan-nha-nuoc.chn?utm_source=du-lieu
7,(13/10/2025 00:00),BID: Quyết định về việc thay đổi địa điểm đặt trụ sở Chi nhánh Nam Kỳ Khởi Nghĩa,https://cafef.vn/du-lieu/BID-2316405/bid-quyet-dinh-ve-viec-thay-doi-dia-diem-dat-tru-so-chi-nhanh-nam-ky-khoi-nghia.chn?utm_source=du-lieu
8,(09/10/2025 00:00),BID: Quyết định về việc phê duyệt mức phí dịch vụ bảo lãnh áp dụng cho Tổng công ty Bảo hiểm BIDV (BIC),https://cafef.vn/du-lieu/BID-2313535/bid-quyet-dinh-ve-viec-phe-duyet-muc-phi-dich-vu-bao-lanh-ap-dung-cho-tong-cong-ty-bao-hiem-bidv-bic.chn?utm_source=du-lieu
9,(09/10/2025 00:00),BID: Quyết định về việc thông qua Phụ lục Hợp đồng đại lý bảo hiểm năm 2025 với Công ty TNHH Bảo hiểm nhân thọ BIDV MetLife (BML),https://cafef.vn/du-lieu/BID-2313536/bid-quyet-dinh-ve-viec-thong-qua-phu-luc-hop-dong-dai-ly-bao-hiem-nam-2025-voi-cong-ty-tnhh-bao-hiem-nhan-tho-bidv-metlife-bml.chn?utm_source=du-lieu
10,(09/10/2025 00:00),BID: Quyết định về việc thay đổi địa điểm đặt trụ sở Chi nhánh Bình Thạnh,https://cafef.vn/du-lieu/BID-2313570/bid-quyet-dinh-ve-viec-thay-doi-dia-diem-dat-tru-so-chi-nhanh-binh-thanh.chn?utm_source=du-lieu
