,Thời gian,Tiêu đề,URL
0,(11/11/2025 00:00),CTG: Nghị quyết HĐQT về việc phê duyệt cập nhật phương án tăng vốn điều lệ,https://cafef.vn/du-lieu/CTG-2337499/ctg-nghi-quyet-hdqt-ve-viec-phe-duyet-cap-nhat-phuong-an-tang-von-dieu-le.chn?utm_source=du-lieu
1,(11/11/2025 00:00),CTG: HĐQT thông qua hợp đồng đại diện nhận TSBĐ và văn bản ủy quyền giữa Vietinbank và Vietinbank Lào,https://cafef.vn/du-lieu/CTG-2337629/ctg-hdqt-thong-qua-hop-dong-dai-dien-nhan-tsbd-va-van-ban-uy-quyen-giua-vietinbank-va-vietinbank-lao.chn?utm_source=du-lieu
2,(06/11/2025 00:00),CTG: Nghị quyết HĐQT phê duyệt chủ trương thay đổi địa điểm trụ sở Chi nhánh Hồng Bàng,https://cafef.vn/du-lieu/CTG-2336083/ctg-nghi-quyet-hdqt-phe-duyet-chu-truong-thay-doi-dia-diem-tru-so-chi-nhanh-hong-bang.chn?utm_source=du-lieu
3,(27/10/2025 00:00),CTG: Quyết định của TGĐ về việc thay đổi tên gọi Chi nhánh KCN Hải Dương và CN Quảng Nam,https://cafef.vn/du-lieu/CTG-2326844/ctg-quyet-dinh-cua-tgd-ve-viec-thay-doi-ten-goi-chi-nhanh-kcn-hai-duong-va-cn-quang-nam.chn?utm_source=du-lieu
4,(27/10/2025 00:00),CTG: Anh rể bà Đặng Thị Việt Hà - Phó tổng giám đốc đã bán 20.200 cp,https://cafef.vn/du-lieu/CTG-2326852/ctg-anh-re-ba-dang-thi-viet-ha-pho-tong-giam-doc-da-ban-20200-cp.chn?utm_source=du-lieu
5,(24/10/2025 07:32),"Những DN lớn nhất: Chỉ Vinamilk và ACV trả lương bình quân trên 30 triệu/tháng, cạnh tranh với Ngân hàng, công ty nào có thu nhập 70,5 triệu/tháng?",https://cafef.vn/nhung-dn-lon-nhat-chi-vinamilk-va-acv-tra-luong-binh-quan-tren-30-trieuthang-canh-tranh-voi-ngan-hang-cong-ty-nao-co-thu-nhap-705-trieuthang-188251024073257084.chn?utm_source=du-lieu
6,(17/10/2025 00:00),CTG: Nghị quyết HĐQT phê duyệt chủ trương thay đổi tên CN KCN Hải Dương và CN Quảng Nam,https://cafef.vn/du-lieu/CTG-2319720/ctg-nghi-quyet-hdqt-phe-duyet-chu-truong-thay-doi-ten-cn-kcn-hai-duong-va-cn-quang-nam.chn?utm_source=du-lieu
7,(17/10/2025 00:00),CTG: Nghị quyết HĐQT phê duyệt phương án tăng vốn điều lệ thông qua phát hành cổ phiếu để trả cổ tức,https://cafef.vn/du-lieu/CTG-2320575/ctg-nghi-quyet-hdqt-phe-duyet-phuong-an-tang-von-dieu-le-thong-qua-phat-hanh-co-phieu-de-tra-co-tuc.chn?utm_source=du-lieu
8,(09/10/2025 00:00),CTG: HĐQT thông qua hợp đồng bảo hiểm Lòng trung thành (BBB lớp dưới) với VBI,https://cafef.vn/du-lieu/CTG-2313576/ctg-hdqt-thong-qua-hop-dong-bao-hiem-long-trung-thanh-bbb-lop-duoi-voi-vbi.chn?utm_source=du-lieu
9,(08/10/2025 00:00),CTG: Báo cáo phát triển bền vững 2024,https://cafef.vn/du-lieu/CTG-2312641/ctg-bao-cao-phat-trien-ben-vung-2024.chn?utm_source=du-lieu
10,(08/10/2025 00:00),CTG: Đơn từ nhiệm của bà Phạm Thị Thơm - thành viên BKS,https://cafef.vn/du-lieu/CTG-2313515/ctg-don-tu-nhiem-cua-ba-pham-thi-thom-thanh-vien-bks.chn?utm_source=du-lieu
11,(07/10/2025 07:52),"'Đế chế' của ông Phạm Nhật Vượng chỉ có 37,3% nhân sự nữ nhưng các nữ tướng chiếm 59%, ngân hàng là 'thánh địa' của giới nữ ngoại trừ Sacombank",https://cafef.vn/de-che-cua-ong-pham-nhat-vuong-chi-co-373-nhan-su-nu-nhung-cac-nu-tuong-chiem-59-ngan-hang-la-thanh-dia-cua-gioi-nu-ngoai-tru-sacombank-188251007075236181.chn?utm_source=du-lieu
12,(03/10/2025 00:00),"CTG: 14.10.2025, ngày GDKHQ trả cổ tức năm 2024 bằng tiền (450 đ/cp)",https://cafef.vn/du-lieu/CTG-2310658/ctg-14102025-ngay-gdkhq-tra-co-tuc-nam-2024-bang-tien-450-dcp.chn?utm_source=du-lieu
13,(01/10/2025 10:10),VietinBank chốt ngày chi hơn 2.400 tỷ đồng trả cổ tức tiền mặt,https://cafef.vn/vietinbank-chot-ngay-chi-hon-2400-ty-dong-tra-co-tuc-tien-mat-188251001091021645.chn?utm_source=du-lieu
14,(30/09/2025 00:00),CTG: Nghị quyết HĐQT phê duyệt chủ trương thay đổi địa điểm đặt trụ sở Chi nhánh Bắc Thăng Long,https://cafef.vn/du-lieu/CTG-2307607/ctg-nghi-quyet-hdqt-phe-duyet-chu-truong-thay-doi-dia-diem-dat-tru-so-chi-nhanh-bac-thang-long.chn?utm_source=du-lieu
15,(30/09/2025 00:00),CTG: Nghị quyết HĐQT phê duyệt chi trả cổ tức năm 2024 bằng tiền,https://cafef.vn/du-lieu/CTG-2307609/ctg-nghi-quyet-hdqt-phe-duyet-chi-tra-co-tuc-nam-2024-bang-tien.chn?utm_source=du-lieu
16,(26/09/2025 00:00),CTG: Nghị quyết HĐQT số 376 ngày 26/09/2025,https://cafef.vn/du-lieu/CTG-2306480/ctg-nghi-quyet-hdqt-so-376-ngay-26092025.chn?utm_source=du-lieu
17,(17/09/2025 16:05),CTG: Báo cáo kết quả giao dịch cổ phiếu của người liên quan của Người nội bộ Đỗ Thị Thanh Thúy,https://cafef.vn/du-lieu/CTG-2298203/ctg-bao-cao-ket-qua-giao-dich-co-phieu-cua-nguoi-lien-quan-cua-nguoi-noi-bo-do-thi-thanh-thuy.chn?utm_source=du-lieu
18,(17/09/2025 15:58),CTG: Thông báo giao dịch cổ phiếu của người có liên quan đến người nội bộ Mai Xuân Hiền,https://cafef.vn/du-lieu/CTG-2298192/ctg-thong-bao-giao-dich-co-phieu-cua-nguoi-co-lien-quan-den-nguoi-noi-bo-mai-xuan-hien.chn?utm_source=du-lieu
