Unnamed: 0,Thời gian,Tiêu đề,URL,content
0,(11/11/2025 00:00),CTG: Nghị quyết HĐQT về việc phê duyệt cập nhật phương án tăng vốn điều lệ,https://cafef.vn/du-lieu/CTG-2337499/ctg-nghi-quyet-hdqt-ve-viec-phe-duyet-cap-nhat-phuong-an-tang-von-dieu-le.chn?utm_source=du-lieu,
1,(11/11/2025 00:00),CTG: HĐQT thông qua hợp đồng đại diện nhận TSBĐ và văn bản ủy quyền giữa Vietinbank và Vietinbank Lào,https://cafef.vn/du-lieu/CTG-2337629/ctg-hdqt-thong-qua-hop-dong-dai-dien-nhan-tsbd-va-van-ban-uy-quyen-giua-vietinbank-va-vietinbank-lao.chn?utm_source=du-lieu,
2,(06/11/2025 00:00),CTG: Nghị quyết HĐQT phê duyệt chủ trương thay đổi địa điểm trụ sở Chi nhánh Hồng Bàng,https://cafef.vn/du-lieu/CTG-2336083/ctg-nghi-quyet-hdqt-phe-duyet-chu-truong-thay-doi-dia-diem-tru-so-chi-nhanh-hong-bang.chn?utm_source=du-lieu,
3,(27/10/2025 00:00),CTG: Quyết định của TGĐ về việc thay đổi tên gọi Chi nhánh KCN Hải Dương và CN Quảng Nam,https://cafef.vn/du-lieu/CTG-2326844/ctg-quyet-dinh-cua-tgd-ve-viec-thay-doi-ten-goi-chi-nhanh-kcn-hai-duong-va-cn-quang-nam.chn?utm_source=du-lieu,
4,(27/10/2025 00:00),CTG: Anh rể bà Đặng Thị Việt Hà - Phó tổng giám đốc đã bán 20.200 cp,https://cafef.vn/du-lieu/CTG-2326852/ctg-anh-re-ba-dang-thi-viet-ha-pho-tong-giam-doc-da-ban-20200-cp.chn?utm_source=du-lieu,
5,(24/10/2025 07:32),"Những DN lớn nhất: Chỉ Vinamilk và ACV trả lương bình quân trên 30 triệu/tháng, cạnh tranh với Ngân hàng, công ty nào có thu nhập 70,5 triệu/tháng?",https://cafef.vn/nhung-dn-lon-nhat-chi-vinamilk-va-acv-tra-luong-binh-quan-tren-30-trieuthang-canh-tranh-voi-ngan-hang-cong-ty-nao-co-thu-nhap-705-trieuthang-188251024073257084.chn?utm_source=du-lieu,"Xét trong nhóm 50 doanh nghiệp niêm yết có vốn hóa lớn nhất thị trường chứng khoán Việt Nam, có gần 20 doanh nghiệp nêu cụ thể số liệu thu nhập bình quân mỗi nhân sự/tháng trong Báo cáo thường niên 2024. Dù không phải là bức tranh toàn cảnh của thị trường lao động Việt Nam mà ‘lắt cắt’ nhanh của nhóm ‘anh cả’, nhưng sự phân hóa cũng vẫn khá rõ nét.
Lĩnh vực Tài chính (gồm Ngân hàng - Chứng khoán) thiết lập một mặt bằng thu nhập mà phần còn lại của nền kinh tế khó lòng theo kịp. Trong ‘câu lạc bộ’ những doanh nghiệp có khả năng chi trả bình quân trên 30 triệu đồng/người/tháng là sự thống trị gần như tuyệt đối của nhóm tài chính. Giữa vòng vây đó, chỉ có hai DN thuộc khối phi tài chính là Vinamilk (31,0 triệu) và ACV - Tổng công ty Cảng hàng không (30,5 triệu).
Tuy nhiên, Vinamilk không cho biết mức thu nhập bình quân năm 2023.
Techcombank Securities gây ‘sốc’ với con số công bố mức thu nhập bình quân tại đây là 70,5 triệu đồng/người/tháng – tăng 8,5% so với năm 2023. 6 tháng đầu năm 2025, thu nhập bình quân ở đây vẫn gần 58 triệu đồng/người/tháng. Công ty này đánh giá, mức thu nhập của TCBS ở mức cạnh tranh không chỉ tại Việt Nam mà so với cả khu vực, thỏa đáng với năng lực làm việc.
SSI không nêu mức thu nhập bình quân, nhưng cho biết các khoản chi trả liên quan đến lương, thưởng, phúc lợi và bảo hiểm cho người lao động bình quân là 672 tỷ đồng/nhân sự, tương đương 55 triệu đồng/người/tháng.
Thu nhập bình quân của ngành chứng khoán bao gồm một phần khổng lồ là hoa hồng môi giới (từ hoạt động giao dịch cổ phiếu và trái phiếu) và thưởng hiệu suất. Đây là số liệu ""tổng chi trả"" của công ty cho nhân viên (chưa trừ thuế TNCN).
Trong thực tế, các môi giới thường phải dùng phần lớn khoản hoa hồng này để tái đầu tư, chăm sóc khách hàng và trả phí cho mạng lưới cộng tác viên bên ngoài. Do đó, con số thu nhập này là ""doanh thu"" của một nhân viên môi giới, chứ không phải ""lợi nhuận"" họ bỏ túi.
Cùng là CTCK nhưng VIX có thu nhập bình quân ở mức 24,4 triệu đồng/người/tháng (giảm 1,21%) và là doanh nghiệp duy nhất trong toàn bộ danh sách có thu nhập bình quân sụt giảm năm 2024. Trong 9 tháng đầu năm 2025, VIX là một trong những công ty có ""nhân viên kiếm tiền giỏi nhất"" thị trường. Với đội ngũ chỉ hơn 80 nhân sự, VIX tạo ra bình quân hơn 60 tỷ đồng lợi nhuận/người.
Sự ‘thống trị’ của nhóm Tài chính trong danh sách trên thể hiện ở ACB (38,1 triệu), Vietinbank (38,04 triệu), Vietcombank (38,0 triệu) và MB (37,4 triệu). Trong đó, Vietinbank báo cáo thu nhập bình quân tăng tới 10% so với năm 2023. Đây là một trong những ngân hàng có tăng trưởng lợi nhuận cao hàng đầu hệ thống trong năm 2024.
Nhìn xuống cuối bảng, nhóm bất động sản Vincom Retail (không tăng), Becamex Group (tăng 0,2%) và Vinhomes (tăng 1%). Ngược lại, Petrolimex (tăng 16,5%) và ACV (tăng 13,8%) là hai quán quân về mức tăng thu nhập. Điều này cho thấy khi các hoạt động giao thương, du lịch và sản xuất phục hồi sau đại dịch, nhóm ngành dịch vụ hạ tầng (cảng hàng không, xăng dầu) đã hưởng lợi trực tiếp và cải thiện rõ rệt ""hầu bao"" cho người lao động.
Con số thu nhập 28 triệu đồng/người/tháng tại Tập đoàn Công nghiệp Cao su Việt Nam (GVR) là mức thu nhập bình quân của các nhân sự tại Công ty Mẹ, tức khối văn phòng, ban lãnh đạo và quản lý cấp cao. Tập đoàn đã tạo việc làm ổn định cho hơn 81.000 lao động với mức thu nhập bình quân năm 2024 là 11,0 triệu đồng/người/tháng, trong đó lao động là người dân tộc thiểu số trên 17.300 người (chiếm tỷ lệ trên 21,3% tổng số lao động), lao động là người nước ngoài (Lào, Campuchia) trên 19.900 người (chiếm tỷ lệ trên 24,5% tổng số lao động).
Thu nhập bình quân không phải là ""thu nhập của đa số"". Con số này được tính bằng cách lấy tổng quỹ lương, thưởng của cả công ty (bao gồm lương thưởng hàng trăm triệu, hàng tỷ đồng của các lãnh đạo cấp cao) chia cho tổng số nhân sự (bao gồm cả nhân viên cấp thấp nhất). Do đó, nó sẽ cao hơn mức thu nhập thực tế mà đa số nhân viên nhận được, đặc biệt là ở các công ty có sự chênh lệch lương quá lớn giữa lãnh đạo và nhân viên.
Đối với những ngành có số lượng nhân viên ở các cấp bậc bán hàng, vận hành, dịch vụ rất lớn như bất động sản, điều này cũng làm cho con số bình quân bị kéo xuống.
Theo Tổng cục Thống kê, thu nhập bình quân của người lao động cả nước năm 2024 chỉ là 7,7 triệu đồng/tháng."
6,(17/10/2025 00:00),CTG: Nghị quyết HĐQT phê duyệt chủ trương thay đổi tên CN KCN Hải Dương và CN Quảng Nam,https://cafef.vn/du-lieu/CTG-2319720/ctg-nghi-quyet-hdqt-phe-duyet-chu-truong-thay-doi-ten-cn-kcn-hai-duong-va-cn-quang-nam.chn?utm_source=du-lieu,
7,(17/10/2025 00:00),CTG: Nghị quyết HĐQT phê duyệt phương án tăng vốn điều lệ thông qua phát hành cổ phiếu để trả cổ tức,https://cafef.vn/du-lieu/CTG-2320575/ctg-nghi-quyet-hdqt-phe-duyet-phuong-an-tang-von-dieu-le-thong-qua-phat-hanh-co-phieu-de-tra-co-tuc.chn?utm_source=du-lieu,
8,(09/10/2025 00:00),CTG: HĐQT thông qua hợp đồng bảo hiểm Lòng trung thành (BBB lớp dưới) với VBI,https://cafef.vn/du-lieu/CTG-2313576/ctg-hdqt-thong-qua-hop-dong-bao-hiem-long-trung-thanh-bbb-lop-duoi-voi-vbi.chn?utm_source=du-lieu,
9,(08/10/2025 00:00),CTG: Báo cáo phát triển bền vững 2024,https://cafef.vn/du-lieu/CTG-2312641/ctg-bao-cao-phat-trien-ben-vung-2024.chn?utm_source=du-lieu,
